country,income,health,population,,,,,
Barbados,12984,75.8,284215,,,,,
China,13334,76.9,1376048943,,,,,
Algeria,13434,76.5,39666519,,,,,
Costa Rica,14132,80,4807850,,,,,
Maldives,14408,79.5,363657,,,,,
Thailand,14512,75.1,67959359,,,,,
Iraq,14646,72.1,36423395,,,,,
Montenegro,14833,75.8,625781,,,,,
Brazil,15441,75.6,207847528,,,,,
Iran,15573,78.5,79109272,,,,,
Venezuela,15753,75.8,31108083,,,,,
Turkmenistan,15865,67.9,5373502,,,,,
Bulgaria,16371,74.9,7149787,,,,,
Mexico,16850,74.5,127017224,,,,,
Azerbaijan,16986,72.9,9753968,,,,,
Lebanon,17050,78.5,5850743,,,,,
Suriname,17125,70.5,542975,,,,,
Botswana,17196,66.4,2262485,,,,,
Libya,17261,76.2,6278438,,,,,
Argentina,17344,76.2,43416755,,,,, 
Belarus,17415,70.4,9495826,,,,,
Mauritius,18350,73.9,1273212,,,,,
Gabon,18627,60.53,1725292,,,,,
Romania,19203,76.8,19511324,,,,,
Turkey,19360,76.5,78665830,,,,,
Croatia,20260,78,4240317,,,,,
Uruguay,20438,77.3,3431555,,,,,
Panama,20485,78.2,3929141,,,,,
Antigua and Barbuda,21049,75.2,91818,,,,,
Cuba,21291,78.5,11389562,,,,,
Chile,22465,79.3,17948141,,,,,
Bahamas,22818,72.3,388019,,,,,
Russia,23038,73.13,143456918,,,,,
Latvia,23282,75.7,1970503,,,,,
Kazakhstan,23468,68.2,17625226,,,,,
Hungary,24200,76.2,9855023,,,,,
Malaysia,24320,75.1,30331007,,,,,
Poland,24787,77.3,38611794,,,,,
Greece,25430,79.8,10954617,,,,,
Seychelles,25684,73.7,96471,,,,,
Portugal,26437,79.8,10349803,,,,,
Lithuania,26665,75.4,2878405,,,,,
Estonia,26812,76.8,1312558,,,,,
Slovak Republic,27204,76.4,5426258,,,,,
Slovenia,28550,80.2,2067526,,,,,
Czech Republic,29437,78.6,10543186,,,,,
Cyprus,29797,82.6,1165300,,,,,
Trinidad and Tobago,30113,71.4,1360088,,,,,
Malta,30265,82.1,418670,,,,,
Equatorial Guinea,31087,60.63,845060,,,,,
Israel,31590,82.4,8064036,,,,,
Spain,32979,81.7,46121699,,,,,
Italy,33297,82.1,59797685,,,,,
New Zealand,34186,80.6,4528526,,,,,
South Korea,34644,80.7,50293439,,,,,
Japan,36162,83.5,126573481,,,,,
France,37599,81.9,64395345,,,,,
United Kingdom,38225,81.4,64715810,,,,,
Finland,38923,80.8,5503457,,,,,
Belgium,41240,80.4,11299192,,,,,
Iceland,42182,82.8,329425,,,,,
Canada,43294,81.7,35939927,,,,,
Denmark,43495,80.1,5669081,,,,,
Germany,44053,81.1,80688545,,,,,
Australia,44056,81.8,23968973,,,,,
Bahrain,44138,79.2,1377237,,,,,
Austria,44401,81,8544586,,,,,
Sweden,44892,82,9779426,,,,,
Netherlands,45784,80.6,16924929,,,,,
Andorra,46577,84.1,70473,,,,,
Ireland,47758,80.4,4688465,,,,,
Oman,48226,75.7,4490541,,,,,
Saudi Arabia,52469,78.1,31540372,,,,,
United States,53354,79.1,321773631,,,,,
Switzerland,56118,82.9,8298663,,,,,
United Arab Emirates,60749,76.6,9156963,,,,,
Norway,64304,81.6,5210967,,,,,
Brunei,73003,78.7,423188,,,,,
Singapore,80794,82.1,5603740,,,,,
Kuwait,82633,80.7,3892115,,,,,
Luxembourg,88314,81.1,567110,,,,,
Qatar,132877,82,2235355,,,,,
